|nombre_fichero|origen|resolucion|url|programas
0|boja/ORDEN_DE_10_DE_MARZO_DE_2006.html|ORDEN DE 10 DE MARZO DE 2006 de desarrollo y tramitación de las actuaciones de materia de vivienda y suelo del Plan Andaluz de Vivienda y suelo 2003-2007|ORDEN DE 10 DE MARZO DE 2006|http://www.juntadeandalucia.es/boja/2006/66/2|
1|boja/ORDEN_DE_28_DE_MAYO_DE_1999.html|ORDEN DE 28 DE MAYO DE 1999  pago de las indemnizaciones.¬|ORDEN DE 28 DE MAYO DE 1999|http://www.juntadeandalucia.es/boja/1999/67/5|
2|boja/DECRETO-LEY_8-2013.html|DECRETO-LEY 8/2013, 28 DE MAYO , de Medidas de Creación de Empleo y Formento del Emprendimiento.|DECRETO-LEY 8/2013|http://www.juntadeandalucia.es/boja/2013/105/2|32L
3|boja/RESOL__DE_26_DE_OCTUBRE_D_2011.html|RESOL. DE 26 DE OCTUBRE D 2011 , de la Secretaría General del Medio Rural y la Producción Ecológica, por la que se convocan para 2012 las ayudas previstas en la Orden de 10 de junio de 2011, por la que se|RESOL. DE 26 DE OCTUBRE D 2011|http://www.juntadeandalucia.es/boja/2011/223/s1|
4|boja/RESOL_D_14_D_JULIO_2010.html|RESOL D 14 D JULIO 2010 CII 2 , de la Dirección General de Formación Profesional, Autónomos y Programas para el Empleo del Servicio Andaluz de Empleo, por la que se aprueba la convocatoria de concesión d|RESOL D 14 D JULIO 2010|http://www.juntadeandalucia.es/boja/2010/147/29|
5|boja/RESOL__1_D_AGOSTO_D_2011.html|RESOL. 1 D AGOSTO D 2011 CII4A , de la Dirección General de Formación Profesional, Autónomos y Programas para el Empleo del Servicio Andaluz de Empleo, por la que se aprueba la convocatoria de concesión d|RESOL. 1 D AGOSTO D 2011|http://www.juntadeandalucia.es/boja/2011/157/3|
6|boja/RESOL_D_14_D_JULIO_D_2010.html|RESOL D 14 D JULIO D 2010 CII4 , de la Dirección General de Formación Profesional, Autónomos y Programas para el Empleo del Servicio Andaluz de Empleo, por la que se aprueba la convocatoria de concesión d|RESOL D 14 D JULIO D 2010|http://www.juntadeandalucia.es/boja/2010/151/1|
7|boja/RESOL__DE_26_DE_ABRIL_DE_2013.html|RESOL. DE 26 DE ABRIL DE 2013 , de la S.G. de Economía, por la que se convoca la concesión de subvenciones recogidas en la Orden de 27 de julio de 2011, por la que se aprueban las bases reguladoras paral|RESOL. DE 26 DE ABRIL DE 2013|http://www.juntadeandalucia.es/boja/2013/85/1|61O
8|boja/ORDEN_DE_15_DE_MAYO_DE_2009.html|ORDEN DE 15 DE MAYO DE 2009 , por la que se establecen las bases reguladoras para la concesión de subvenciones para la realización de acciones de formación profesional para e|ORDEN DE 15 DE MAYO DE 2009|http://www.juntadeandalucia.es/boja/2009/101/3|
9|boja/RESOL__DE_16_DE_FEBRERO_D_2010.html|RESOL. DE 16 DE FEBRERO D 2010 , por la que se anuncia la convocatoria para el aNo 2010 para la solicitud de las subvenciones destinadas a Consorcios Escuela de Formación para el Empleo participados por l|RESOL. DE 16 DE FEBRERO D 2010|http://www.juntadeandalucia.es/boja/2010/44/34|
