Tipo de Ente,Código de Ente,Nombre,CIF,Alta Desde
A. G. COMUNIDAD AUTÓNOMA,01-00-000-B-B-000,Comunidad Autónoma de Andalucía,S4111001F,30/12/1981
OO.AA.ADMINISTRATIVOS,01-00-000-B-V-002,Inst. Andaluz Administración Pública,Q9150007D,18/12/1985
OO.AA.ADMINISTRATIVOS,01-00-000-B-V-004,Inst. Estadística y Cartografía de Andalucía (I.E.C.A.),Q9150014J,08/01/1990
OO.AA.ADMINISTRATIVOS,01-00-000-B-V-005,P. Alhambra y Generalife,Q1818001H,01/01/1986
OO.AA.ADMINISTRATIVOS,01-00-000-B-V-006,Inst. Andaluz Mujer,Q9150012D,01/01/1989
OO.AA.ADMINISTRATIVOS,01-00-000-B-V-007,Ctro. Andaluz Arte Contemporáneo,Q9150015G,06/02/1990
OO.AA.ADMINISTRATIVOS,01-00-000-B-V-008,Inst. Andaluz Juventud,Q9150017C,01/01/1997
OO.AA.ADMINISTRATIVOS,01-00-000-B-V-009,Serv. Andaluz Salud,Q9150013B,30/05/1986
OO.AA.ADMINISTRATIVOS,01-00-000-B-V-014,"Inst. Andaluz Inv. y Form. Agraria, Pesquera,Alimentaria y Prod. Eco.",Q4100689A,05/08/2003
OO.AA.ADMINISTRATIVOS,01-00-000-B-V-017,Instituto Andaluz de Prevención de Riesgos Laborales,Q4100718H,31/12/2006
OO.AA.ADMINISTRATIVOS,01-00-000-B-V-018,Agencia de defensa de la Competencia de Andalucía,Q4100713I,05/07/2007
OO.AA.ADMINISTRATIVOS,01-00-000-B-V-019,Agencia Andaluza de Evaluacion Educativa,S4100025H,25/01/2008
OO.AA.ADMINISTRATIVOS,01-00-000-B-V-020,Instituto Andaluz de enseñanzas artísticas superiores,,25/01/2008
ENTIDADES PÚBLICAS EMPRESARIALES,01-00-000-B-I-001,Instituto Andaluz de Patrimonio Histórico,Q4100720D,06/07/2007
ENTIDADES PÚBLICAS EMPRESARIALES,01-00-000-B-I-002,Agencia Andaluza de Cooperación Internacional para el Desarrollo,Q4100719F,25/05/2006
ENTIDADES PÚBLICAS EMPRESARIALES,01-00-000-B-I-003,Agencia Publica Emp. de la Radio y Televisión de Andalucía,Q4191001I,16/01/2008
ENTIDADES PÚBLICAS EMPRESARIALES,01-00-000-B-I-004,Agencia Andaluza del Conocimiento,Q4100812I,22/12/2007
ENTIDADES PÚBLICAS EMPRESARIALES,01-00-000-B-I-005,Agencia de Servicios Sociales y Dependencia de Andalucía,Q4100811A,30/04/2011
ENTIDADES PÚBLICAS EMPRESARIALES,01-00-000-B-I-006,Agencia de Medio Ambiente y Agua de Andalucía,Q4100799H,30/04/2011
ENTIDADES PÚBLICAS EMPRESARIALES,01-00-000-B-I-012,Agencia de Obra Pública de la Junta de Andalucía,Q4100686G,30/04/2011
ENTIDADES PÚBLICAS EMPRESARIALES,01-00-000-B-I-013,Agencia Pública Empresarial Costa del Sol,Q7955060D,30/04/2011
ENTIDADES PÚBLICAS EMPRESARIALES,01-00-000-B-I-014,Agencia Pca. Empres. Sanitaria Hospital Alto Guadalquivir,Q2300601H,30/04/2011
ENTIDADES PÚBLICAS EMPRESARIALES,01-00-000-B-I-015,Agencia Pca. Empresarial Sanitaria Bajo Guadalquivir,Q4100710E,30/04/2011
ENTIDADES PÚBLICAS EMPRESARIALES,01-00-000-B-I-016,Agencia Andaluza de Instituciones Culturales,Q9155027G,30/04/2011
ENTIDADES PÚBLICAS EMPRESARIALES,01-00-000-B-I-017,Agencia Pca. Empresarial Hospital de Poniente de Almería,Q5450010C,30/04/2011
ENTIDADES PÚBLICAS EMPRESARIALES,01-00-000-B-I-018,Ente Público Andaluz de Infraestructuras y Servicios Educativos,Q4100702B,01/07/2011
ENTIDADES PÚBLICAS EMPRESARIALES,01-00-000-B-I-019,E. Pca. Emergencias Sanitarias (EPES),Q2900463G,01/07/2011
ENTIDADES PÚBLICAS EMPRESARIALES,01-00-000-B-I-020,Agencia de Vivienda y Rehabilitación de Andalucía (AVRA),Q9155006A,01/07/2011
ENTIDADES PÚBLICAS EMPRESARIALES,01-00-000-B-I-021,Agencia Pública de Puertos de Andalucía,Q9155023F,01/07/2011
ENTIDADES PÚBLICAS EMPRESARIALES,01-00-000-B-I-022,Agencia de Innovación y Desarrollo de Andalucía,Q9150009J,01/07/2011
ENTIDADES PÚBLICAS EMPRESARIALES,01-00-000-B-I-023,Agencia Andaluza de la Energía,Q4100698B,01/07/2011
ENTES PÚBLICOS,01-00-000-B-U-011,Consejo Audiovisual de Andalucia,S4111001F,31/12/2004
ENTES PÚBLICOS,01-00-000-B-U-015,Instituto Andaluz de Finanzas,,01/01/2000
AGENCIAS,01-00-000-B-Y-001,Agencia Tributaria de Andalucía,Q4100778B,01/01/2008
AGENCIAS,01-00-000-B-Y-003,Agencia de Gestión Agraria y Pesquera de Andalucía (AGAPA),Q4100797B,30/04/2011
AGENCIAS,01-00-000-B-Y-004,Servicio Andaluz de Empleo,Q4100684B,22/02/2011
CONSORCIOS,01-00-002-C-C-000,C. Unidad Territ. Emp. y Desar. Local y tecn. Arquillos y Otros,P2300030J,17/04/2002
CONSORCIOS,01-00-003-C-C-000,C. Unidad Territ. Emp. y Desar. Local y Tecn. Campiña Sur,P2300028D,16/04/2002
CONSORCIOS,01-00-004-C-C-000,C. Unidad Territ. Emp. y Desar. Local y Tecn. Los Vélez,S0400012A,24/04/2002
CONSORCIOS,01-00-005-C-C-000,C. Unidad Territ. Emp. y Desar. Local y Tecn. Zona Norte de Granada,G18609222,26/03/2002
CONSORCIOS,01-00-007-C-C-000,C. Unidad territ. Emp. y Desar. Local y Tecn. Vega Media,S4100010J,19/04/2002
CONSORCIOS,01-00-008-C-C-000,C. Unidad territ. Emp. y Desar. Local y Tecn. Aznalcollar y Otros,S4100011H,22/04/2002
CONSORCIOS,01-00-010-C-C-000,C. Unidad Territ. Emp. y Desar. Local y Tecn. Zona Oeste de Granada,G18609164,19/03/2002
CONSORCIOS,01-00-011-C-C-000,C. Unidad Territ. Emp. y Desar. Local y Tecn. La Algarbia,P2900033H,26/03/2002
CONSORCIOS,01-00-013-C-C-000,C. Unidad Territ. Emp. y Desar. Local y Tecn. Sierra Sur,P2300020A,15/03/2002
CONSORCIOS,01-00-012-C-C-000,C. Unidad Territ. Emp. y Desar. Local y Tecn. Zona L de Granada,G18609172,18/03/2002
CONSORCIOS,01-00-019-C-C-000,"C. Unidad Territ. Emp. y Desar. Local y Tecn. Enix, Vicar y Otros",S0400006C,23/04/2002
CONSORCIOS,01-00-020-C-C-000,C. Unidad Territ. Emp. y Desar. Local y Tecn. Comarca Guadiato,Q1400459B,22/04/2002
CONSORCIOS,01-00-023-C-C-000,C. Unidad Territ. Emp. y Desar. Local y Tecn. Loma Occidental,P2300031H,15/03/2002
CONSORCIOS,01-00-027-C-C-000,Consorcio de Transporte Metropolitano del Campo de Gibraltar,G93063550,28/07/2005
CONSORCIOS,01-00-028-C-C-000,Consorcio para la mejora de la Hacienda Local,P4100063I,16/12/2005
CONSORCIOS,01-00-029-C-C-000,C. Centro Federico García Lorca,V18863878,05/06/2007
CONSORCIOS,01-00-030-C-C-000,Consorcio Unidad para la Calidad de las Universidades Andaluzas,V18863878,20/10/1998
CONSORCIOS,01-00-031-C-C-000,Consorcio para la excelencia de la investigación forense de Andalucía,V18796821,01/10/2006
CONSORCIOS,01-00-032-C-C-000,C. para la Conmem. del Primer Milenio de la Fund. del Reino de Granada,P1800053I,02/03/2009
CONSORCIOS,01-00-033-C-C-000,Consorcio de Transporte Metropolitano de la Costa de Huelva,P2100036I,27/09/2010
CONSORCIOS,01-00-034-C-C-000,GUADALQUIVIR,,19/05/2011
CONSORCIOS,01-00-035-C-C-000,C. Desarrollo y Turismo de la Costa del Sol Occidental,S2900005F,15/09/2008
CONSORCIOS,01-00-036-C-C-000,Instituto de Biomédica de Sevilla (IBIS),,24/03/2006
CONSORCIOS,01-04-005-C-C-000,Consorcio Escuela del Mármol de Fines,Q5455059E,10/03/1992
CONSORCIOS,01-04-022-C-C-000,C. Unidad Territ. Emp. y Desar. Local y Tecn. Adra,S0400013I,12/03/2002
CONSORCIOS,01-04-023-C-C-000,C. Unidad Territ. Emp. y Desar. Local y Tecn. Albánchez y Otros,S0400015D,24/04/2002
CONSORCIOS,01-04-024-C-C-000,C. Unidad Territ. Emp. y Desar. Local y Tecn. Armuña de Almanzora,S0400007A,24/04/2002
CONSORCIOS,01-04-025-C-C-000,C. Unidad Territ. Emp. y Desar. Local y Tecn. Alboloduy y Otros,S0400014G,17/04/2002
CONSORCIOS,01-04-026-C-C-000,C. Unidad Territ. Emp. y Desar. Local y Tecn. Carboneras,S0400010E,17/04/2002
CONSORCIOS,01-04-027-C-C-000,C. Unidad Territ. Emp. y Desar. Local y Tecn. Antas y Otros,S0400009G,13/03/2002
CONSORCIOS,01-04-028-C-C-000,C. Unidad Territ. Emp. y Desar. Local y Tecn. Alcolea y otros,S0400011C,12/03/2002
