AREA|POLITICA|PROGRAMA|DESCRIPCION
0|||DEUDA PUBLICA
0|1||DEUDA PUBLICA
0|1|01A|ADMON. G. FINANC. Y AMORTIZACION DEUDA PUBLICA
1|||SERVICIOS DE CARACTER GENERAL
1|11||ALTA DIRECCION DE LA JUNTA DE ANDALUCIA
1|11|11A|D.Y S. GRALES. DE LA PRESIDENCIA
1|11|11B|ACTIVIDAD LEGISLATIVA
1|11|11C|CONTROL EXTERNO DEL SECTOR PUBLICO
1|11|11D|ALTO ASESORAMIENTO DE LA COMUNIDAD AUTONOMA
1|11|11E|RELACIONES INSTITUCIONALES
1|11|11F|ASESORAMIENTO EN MATERIA ECONOMICA Y SOCIAL
1|11|11G|CONSEJO ASESOR DE R.T.V.E.
1|11|11H|AUTORIDAD Y ASESORAMIENTO AUDIOVISUAL DE LA CAA
1|11|11I|AUT. MAT. TRANSPARENCIA Y PROTECCION DE DATOS AND.
1|12||ADMINISTRACION GENERAL
1|12|12A|MODERNIZACION Y GESTION DE LA FUNCION PUBLICA
1|12|12B|SELECC. Y FORMACION DE PERSONAL DE LA ADMON.GRAL.
1|12|12C|ACCION SOCIAL DEL PERSONAL
1|12|12D|COBERTURA INFORMATIVA
1|12|12E|B.O.J.A.
1|14||JUSTICIA
1|14|14A|D.Y S. GRALES. DE JUSTICIA E INTERIOR
1|14|14B|ADMINISTRACION DE JUSTICIA
2|||PROTECCION CIVIL Y SEGURIDAD CIUDADANA
2|22||SEGURIDAD Y PROTECCION CIVIL
2|22|22A|D.Y S. GRALES. DE ADMON. LOCAL Y RELAC. INST.
2|22|22B|INTERIOR, EMERGENCIAS Y PROTECCION CIVIL
2|22|22C|ESPECTACULOS PUBLICOS Y JUEGO
3|||SEGURIDAD, PROTECCION Y PROMOCION SOCIAL
3|31||SEGURIDAD Y PROTECCION SOCIAL
3|31|31A|D.Y S. GRALES. PARA LA IGUALDAD Y BIEN. SOC.
3|31|31B|PLAN SOBRE DROGODEPENDENCIAS
3|31|31C|SEGURIDAD, SALUD Y RELACIONES LABORALES
3|31|31E|ATENCION A LA INFANCIA
3|31|31F|PENSIONES ASISTENCIALES
3|31|31G|BIENESTAR SOCIAL
3|31|31H|VOLUNTARIADO
3|31|31I|MEMORIA DEMOCRATICA
3|31|31J|COORDINACION DE POLITICAS MIGRATORIAS
3|31|31L|ADMINISTRACION DE LAS RELACIONES LABORALES
3|31|31M|CONSEJO ANDALUZ DE RELACIONES LABORALES
3|31|31N|JUSTICIA JUVENIL Y COOPERACION
3|31|31O|PREVENCION DE RIESGOS LABORALES Y SALUD LABORAL
3|31|31P|SERVICIO DE APOYO A LAS FAMILIAS
3|31|31Q|PREVENCION RIESGOS LABORALES
3|31|31R|ATENC. DEPENDENCIA, ENVEJECIMIENTO A. Y DISCAP.
3|31|31T|PROTECC. CONTRA VIOLENCIA DE Gï¿½NERO Y ASIST. VICT.
3|32||PROMOCION SOCIAL
3|32|32A|SERVICIOS GENERALES Y ACCIONES INTEGRADAS DE EM
3|32|32B|FOMENTO E IGUALDAD EN EL EMPLEO
3|32|32C|DESARROLLO DE LA ECONOMIA SOCIAL
3|32|32D|FORMACION PROFESIONAL PARA EL EMPLEO
3|32|32E|INCLUSION SOCIAL
3|32|32F|PROMOCION Y SERVICIOS A LA JUVENTUD
3|32|32G|ACCIONES PARA LA IGUALDAD Y PROMOC. DE LAS MUJ.
