"Provincia";"CdMun";"Municipio";"Extensión superficial. 2015";"Altitud sobre el nivel del mar. 2015";"Número de núcleos que componen el municipio. 2014";"Perímetro. 2015";"Coordenadas del núcleo principal. 2015";"Población total. 2014";"Población. Hombres. 2014";"Población. Mujeres. 2014";"Población en núcleos. 2014";"Población en diseminados. 2014";"Porcentaje de población menor de 20 años. 2016";"Porcentaje de población mayor de 65 años. 2014";"Incremento relativo de la población en diez años. 2014";"Número de extranjeros. 2014";"Principal procedencia de los extranjeros residentes. 2014";"Porcentaje que representa respecto total de extranjeros. 2014";"Emigraciones. 2013";"Inmigraciones. 2013";"Nacidos vivos por residencia materna. 2013";"Defunciones por lugar de residencia. 2013";"Matrimonios de distinto sexo por lugar donde fijan la residencia. 2013";"Centros de educación de adultos. 2012";"Bibliotecas públicas. 2012";"Centros de salud. 2012";"Consultorios. 2012";"Viviendas familiares principales. 2011";"Viviendas destinadas a alquiler. 2012";"Viviendas destinadas a la venta. 2012";"Viviendas rehabilitadas. 2012";"Transacciones inmobiliarias. 2013";"Número de pantallas de cine. 2014";"Centros en los que se imparte Educación Infantil. 2012";"Centros en los que se imparte Educación Primaria. 2012";"Centros en los que se imparte Enseñanza Secundaria Obligatoria. 2012";"Centros en los que se imparte Bachillerato. 2012";"Centros  en los que se imparten Ciclos Formativos de Grado Medio. 2012";"Centros  en los que se imparten Ciclos Formativos de Grado Superior. 2012";"Superficie dedicada a cultivos herbáceos. 2013";"Principal cultivo herbáceo de regadío. 2013";"Principal cultivo herbáceo de regadío: Has. 2013";"Principal cultivo herbáceo de secano. 2013";"Principal cultivo herbáceo de secano: Has. 2013";"Superficie dedicada a cultivos leñosos. 2013";"Principal cultivo leñoso de regadío. 2013";"Principal cultivo leñoso de regadío: Has. 2013";"Principal cultivo leñoso de secano. 2013";"Principal cultivo leñoso de secano: Has. 2013";"Sin empleo conocido. 2013";"Hasta 5 asalariados. 2013";"Entre 6 y 19 asalariados. 2013";"De 20 y más asalariados. 2013";"Total establecimientos. 2013";"Vehículos turismos. 2013";"Autorizaciones de transporte: taxis. 2013";"Autorizaciones de transporte: mercancías. 2013";"Autorizaciones de transporte: viajeros. 2013";"Vehiculos matriculados. 2014";"Vehiculos turismos matriculados. 2014";"Hoteles. 2013";"Hostales y pensiones. 2013";"Plazas en hoteles. 2013";"Plazas en hostales y pensiones. 2013";"Actividad 1. 2013";"Actividad 2. 2013";"Actividad 3. 2013";"Actividad 4. 2013";"Actividad 5. 2013";"Inversiones realizadas en nuevas industrias. 2012";"Oficinas bancarias. 2013";"Consumo de energía eléctrica (Endesa). 2013";"Consumo de energía eléctrica residencial (Endesa). 2013";"Líneas telefónicas. 2013";"Líneas ADSL en servicio. 2013";"Paro registrado. Mujeres. 2013";"Paro registrado. Hombres. 2013";"Paro registrado. Extranjeros. 2013";"Contratos registrados. Mujeres. 2013";"Contratos registrados. Hombres. 2013";"Contratos registrados. Indefinidos. 2013";"Contratos registrados.Temporales. 2013";"Contratos registrados. Extranjeros. 2013";"Trabajadores eventuales agrarios subsidiados. Mujeres. 2013";"Trabajadores eventuales agrarios subsidiados. Hombres. 2013";"Presupuesto liquidado de ingresos. 2013";"Presupuesto liquidado de gastos. 2013";"Ingresos por habitante. 2013";"Gastos por habitante. 2013";"IBI de naturaleza urbana. Número de recibos. 2013";"IBI de naturaleza rústica. Número titulares catastrales. 2014";"Número de parcelas catastrales: Solares. 2013";"Número de parcelas catastrales: Parcelas edificadas. 2013";"Número de declaraciones. 2012";"Rentas del trabajo. 2012";"Rentas netas de actividades económicas en estimación directa. 2012";"Rentas netas de actividades económicas en estimación objetiva. 2012";"Otro tipo de rentas. 2012";"Renta neta media declarada. 2012";"Situaciones de alta en actividades empresariales. 2013";"Situaciones de alta en actividades profesionales. 2013";"Situaciones de alta en actividades artísticas. 2013"
"Almería";"04001";"Abla ";45,2;844;3;46584,84;"37.141149,-2.78013";1426;744;682;1384;42;15,64;24,68;-3,78;158;"Rumanía";80,38;55;43;4;20;2;0;0;1;0;597;0;0;10;2;0;2;1;1;0;0;0;15;"Judía verde ";3;"-";0;523;"Olivar aceituna de aceite ";131;"Almendro";341;44;20;8;0;72;655;1;10;1;15;9;0;1;0;8;"Sección G: 25 establecimientos";"Sección F: 11 establecimientos";"Sección I: 9 establecimientos";"Sección C: 7 establecimientos";"Sección L: 5 establecimientos";0;2;3790;1767;484;175;49;76;14;135;194;12;317;39;34;12;2062592,09;1971505,31;1450,49;1386,43;1378;1200;202;983;500;3920261,22;226503,6;137002,27;196552,01;8960,64;127;3;0
"Almería";"04002";"Abrucena ";83,7;973;4;58590,69;"37.131338,-2.79933";1262;649;613;1227;35;12,44;25,75;-8,95;77;"Rumanía";50,65;65;42;7;14;2;0;1;0;1;550;3;0;4;5;0;1;1;1;0;0;0;11;"Alfalfa ";4;"-";0;1689;"Olivar aceituna de aceite ";312;"Almendro";1205;44;21;3;0;68;679;1;25;3;17;12;0;0;0;0;"Sección G: 15 establecimientos";"Sección F: 14 establecimientos";"Sección C: 12 establecimientos";"Sección I: 10 establecimientos";"Sección H: 5 establecimientos";0;1;3116;1655;417;148;30;43;5;149;373;20;502;57;55;25;1304676,33;1408299,19;1004,37;990,37;986;1635;67;874;552;3549802,77;29762,03;349905,03;150047,52;7390,43;126;3;0
"Almería";"04003";"Adra ";90,1;5;20;52049,66;"36.749179,-3.01776";24782;12506;12276;24621;161;22,71;13,04;11,34;3176;"Marruecos";38,04;620;644;264;164;72;1;3;1;2;8201;0;0;106;184;0;10;8;5;2;2;2;951;"Pimiento ";342;"-";0;720;"Mandarino ";20;"Almendro";677;793;462;57;30;1342;10148;6;531;21;375;247;2;2;188;170;"Sección G: 478 establecimientos";"Sección F: 202 establecimientos";"Sección I: 106 establecimientos";"Sección M: 106 establecimientos";"Sección H: 103 establecimientos";0;15;49240;25596;5039;2010;1588;1406;434;1823;2692;163;4352;1146;29;30;19247715,69;16986208,61;777,34;11945,29;17409;5334;1535;5444;8900;68603997,42;5954017,93;25343986,04;4123047,5;11688,21;1913;198;3
"Almería";"04004";"Albánchez ";35,1;470;5;27071,3;"37.287415,-2.18068";772;388;384;706;66;10,36;39,77;10,76;288;"Reino Unido";90,97;18;29;1;10;0;0;1;0;1;370;0;0;3;4;0;1;1;1;0;0;0;24;"Tomate ";4;"Cereales de invierno para forrajes";7;708;"Olivar aceituna de aceite ";40;"Almendro";488;22;12;5;0;39;387;1;8;1;11;8;0;1;0;16;"Sección G: 16 establecimientos";"Sección F: 5 establecimientos";"Sección B: 3 establecimientos";"Sección I: 3 establecimientos";"Sección C: 2 establecimientos";0;2;2205;1032;352;128;14;13;2;47;50;3;94;16;3;3;583921,88;734976,42;901,11;516,86;529;1095;100;411;228;1769812,41;45881,32;107727,44;85437,04;8810,78;50;4;0
"Almería";"04005";"Alboloduy ";69,7;384;2;47844,65;"37.032793,-2.62112";642;312;330;632;10;9,97;31,31;-15,97;14;"Rumanía";64,29;18;16;3;5;1;0;1;0;1;325;0;0;4;0;0;2;1;0;0;0;0;16;"Judía verde ";4;"-";0;709;"Olivar aceituna de aceite ";133;"Olivar aceituna de aceite ";192;15;6;4;0;25;290;0;2;0;10;7;0;0;0;0;"Sección G: 12 establecimientos";"Sección I: 4 establecimientos";"Sección E: 2 establecimientos";"Sección P: 2 establecimientos";"Sección C: 1 establecimientos";0;2;1109;615;232;59;22;31;1;79;115;1;193;13;18;16;572797,31;549792,77;888,06;386,63;774;1004;79;634;229;1438277,18;49209,62;181575,39;49423,83;7504,31;34;4;1
"Almería";"04006";"Albox ";168,4;425;6;61359,12;"37.387805,-2.14321";11715;6026;5689;8412;3303;18,39;18,95;9,69;3411;"Reino Unido";42,66;360;435;111;98;30;1;1;1;1;3996;0;0;51;129;0;6;4;2;2;2;2;94;"Otros cultivos industriales ";12;"Cereales de invierno para forrajes";17;5497;"Olivar aceituna de aceite ";217;"Almendro";4810;537;378;49;18;982;5978;5;412;19;186;141;1;1;27;26;"Sección G: 337 establecimientos";"Sección F: 107 establecimientos";"Sección H: 103 establecimientos";"Sección M: 83 establecimientos";"Sección I: 77 establecimientos";365018;8;59530;13849;3395;1446;501;554;177;1031;1411;198;2243;461;80;15;10649043,13;9107112,82;1023,06;6404,44;9064;4533;524;4179;4035;41914354,77;2773998,01;2518252,95;2301248,11;12269,6;1402;145;2
"Almería";"04007";"Alcolea ";67,5;751;3;47325,57;"36.972965,-2.96116";861;448;413;843;18;14,4;24,51;-14,67;11;"Rumanía";45,45;28;19;3;12;1;0;1;0;1;368;0;0;11;1;0;2;1;0;0;0;0;4;"Cebolla ";1;"-";0;486;"Almendro";9;"Almendro";434;19;15;3;0;37;366;1;4;6;7;4;0;0;0;0;"Sección G: 8 establecimientos";"Sección F: 7 establecimientos";"Sección I: 5 establecimientos";"Sección C: 4 establecimientos";"Sección H: 4 establecimientos";0;1;1666;823;253;86;32;44;1;148;167;5;310;3;33;22;1175025,52;1221816,74;1382,38;859,22;1080;685;315;608;325;2138139,19;44080,89;178612,94;101987,78;7577,91;57;2;0
"Almería";"04008";"Alcóntar ";93,9;963;6;59341,45;"37.336128,-2.59705";578;312;266;522;56;11,59;30,28;-11,08;39;"Rumanía";46,15;44;26;2;11;2;0;1;0;1;231;0;0;8;2;0;0;0;0;0;0;0;225;"Otras gramíneas ";3;"Cebada ";157;880;"Olivar aceituna de aceite ";9;"Almendro";848;30;11;3;0;44;331;1;13;1;6;5;0;1;0;22;"Sección G: 13 establecimientos";"Sección I: 8 establecimientos";"Sección C: 7 establecimientos";"Sección F: 4 establecimientos";"Sección L: 4 establecimientos";0;0;898;718;137;14;12;17;2;72;62;4;130;8;10;4;540261,64;486358,26;874,21;342,02;463;977;82;381;185;1367488,31;108942,58;"se";"se";9613,94;64;2;0
"Almería";"04009";"Alcudia de Monteagud ";15,7;1012;1;21674,38;"37.235566,-2.26625";140;73;67;140;0;7,86;29,29;-15,66;0;"-";"-";11;10;0;1;1;0;0;0;0;73;0;0;1;0;0;0;0;0;0;0;0;0;"-";0;"-";0;286;"Olivar aceituna de aceite ";11;"Almendro";228;2;0;1;0;3;87;0;0;0;0;0;0;0;0;0;"Sección G: 1 establecimientos";"Sección I: 1 establecimientos";"Sección Q: 1 establecimientos";"Sección B: 0 establecimientos";"Sección C: 0 establecimientos";0;0;199;105;18;0;2;3;0;30;80;3;107;3;2;0;331941,19;308321,13;2354,19;216,82;234;562;21;212;12;69380,15;0;"se";"se";5961,22;5;1;0
"Almería";"04010";"Alhabia ";16,4;288;1;18385,57;"36.989967,-2.58669";681;348;333;634;47;16,3;21,59;0,29;19;"Rumanía";57,89;28;13;5;11;1;0;1;0;1;275;0;0;0;2;0;1;1;1;0;0;0;6;"Judía verde ";3;"-";0;102;"Olivar aceituna de aceite ";48;"Olivar aceituna de aceite ";6;19;20;4;0;43;354;0;53;0;12;10;0;0;0;0;"Sección G: 11 establecimientos";"Sección H: 8 establecimientos";"Sección F: 7 establecimientos";"Sección I: 5 establecimientos";"Sección C: 4 establecimientos";0;1;2259;765;195;77;47;67;4;84;102;22;164;22;11;10;895955,98;814603,99;1335,25;572,86;434;440;44;348;243;1748301,71;74470,98;167358,12;66782,16;8464,66;74;2;2
